transaction_id,customer_id,date,type,category,amount,merchant,location,payment_method
PS001-202512-001,PS001,2025-12-01,credit,Salary,75000,Monthly salary,Ahmedabad,NEFT
PS001-202512-002,PS001,2025-12-03,debit,Food,455.12,Swiggy / local groceries,Ahmedabad,UPI
PS001-202512-003,PS001,2025-12-05,debit,Food,582.1,Swiggy / local groceries,Ahmedabad,UPI
PS001-202512-004,PS001,2025-12-07,debit,Food,421.29,Swiggy / local groceries,Ahmedabad,UPI
PS001-202512-005,PS001,2025-12-10,debit,Food,531.56,Swiggy / local groceries,Ahmedabad,UPI
PS001-202512-006,PS001,2025-12-13,debit,Food,561.41,Swiggy / local groceries,Ahmedabad,UPI
PS001-202512-007,PS001,2025-12-15,debit,Food,739.27,Swiggy / local groceries,Ahmedabad,UPI
PS001-202512-008,PS001,2025-12-17,debit,Food,481.95,Swiggy / local groceries,Ahmedabad,UPI
PS001-202512-009,PS001,2025-12-19,debit,Food,480.73,Swiggy / local groceries,Ahmedabad,UPI
PS001-202512-010,PS001,2025-12-23,debit,Food,628.96,Swiggy / local groceries,Ahmedabad,UPI
PS001-202512-011,PS001,2025-12-25,debit,Food,515.21,Swiggy / local groceries,Ahmedabad,UPI
PS001-202512-012,PS001,2025-12-27,debit,Food,661.6,Swiggy / local groceries,Ahmedabad,UPI
PS001-202512-013,PS001,2025-12-31,debit,Food,443.8,Swiggy / local groceries,Ahmedabad,UPI
PS001-202512-014,PS001,2025-12-03,debit,Shopping,1153.25,Amazon / local retail,Ahmedabad,UPI
PS001-202512-015,PS001,2025-12-11,debit,Shopping,946.98,Amazon / local retail,Ahmedabad,UPI
PS001-202512-016,PS001,2025-12-20,debit,Shopping,1393.44,Amazon / local retail,Ahmedabad,UPI
PS001-202512-017,PS001,2025-12-30,debit,Shopping,1096.33,Amazon / local retail,Ahmedabad,UPI
PS001-202512-018,PS001,2025-12-02,debit,Transport,367.72,Metro / fuel,Ahmedabad,UPI
PS001-202512-019,PS001,2025-12-06,debit,Transport,351.19,Metro / fuel,Ahmedabad,UPI
PS001-202512-020,PS001,2025-12-11,debit,Transport,311.76,Metro / fuel,Ahmedabad,UPI
PS001-202512-021,PS001,2025-12-14,debit,Transport,530.38,Metro / fuel,Ahmedabad,UPI
PS001-202512-022,PS001,2025-12-19,debit,Transport,475.38,Metro / fuel,Ahmedabad,UPI
PS001-202512-023,PS001,2025-12-22,debit,Transport,382.65,Metro / fuel,Ahmedabad,UPI
PS001-202512-024,PS001,2025-12-26,debit,Transport,309.66,Metro / fuel,Ahmedabad,UPI
PS001-202512-025,PS001,2025-12-30,debit,Transport,331.26,Metro / fuel,Ahmedabad,UPI
PS001-202512-026,PS001,2025-12-02,debit,Bills,988.7,Electricity / mobile,Ahmedabad,UPI
PS001-202512-027,PS001,2025-12-16,debit,Bills,1353.12,Electricity / mobile,Ahmedabad,UPI
PS001-202512-028,PS001,2025-12-30,debit,Bills,1483.18,Electricity / mobile,Ahmedabad,UPI
PS001-202512-029,PS001,2025-12-03,debit,Rent,11858,Monthly rent,Ahmedabad,NEFT
PS001-202512-030,PS001,2025-12-02,debit,Education,956,Learning centre,Ahmedabad,UPI
PS001-202512-031,PS001,2025-12-03,debit,Healthcare,956,Pharmacy,Ahmedabad,UPI
PS001-202512-032,PS001,2025-12-03,debit,Entertainment,602.05,Cinema / streaming,Ahmedabad,UPI
PS001-202512-033,PS001,2025-12-17,debit,Entertainment,561.43,Cinema / streaming,Ahmedabad,UPI
PS001-202512-034,PS001,2025-12-30,debit,Entertainment,557.52,Cinema / streaming,Ahmedabad,UPI
PS001-202512-035,PS001,2025-12-03,debit,Investment,2295,Recurring investment,Ahmedabad,UPI
PS001-202512-036,PS001,2025-12-03,debit,UPI Transfer,758.01,Household transfer,Ahmedabad,UPI
PS001-202512-037,PS001,2025-12-30,debit,UPI Transfer,962.99,Household transfer,Ahmedabad,UPI
PS001-202512-038,PS001,2025-12-03,debit,Other,396.54,Everyday purchase,Ahmedabad,UPI
PS001-202512-039,PS001,2025-12-30,debit,Other,368.46,Everyday purchase,Ahmedabad,UPI
PS001-202512-040,PS001,2025-12-05,debit,EMI,12000,Scheduled loan EMI,Ahmedabad,Auto debit
PS001-202601-001,PS001,2026-01-01,credit,Salary,75000,Monthly salary,Ahmedabad,NEFT
PS001-202601-002,PS001,2026-01-03,debit,Food,474.57,Swiggy / local groceries,Ahmedabad,UPI
PS001-202601-003,PS001,2026-01-05,debit,Food,657.79,Swiggy / local groceries,Ahmedabad,UPI
PS001-202601-004,PS001,2026-01-07,debit,Food,628.43,Swiggy / local groceries,Ahmedabad,UPI
PS001-202601-005,PS001,2026-01-10,debit,Food,434.25,Swiggy / local groceries,Ahmedabad,UPI
PS001-202601-006,PS001,2026-01-12,debit,Food,432.24,Swiggy / local groceries,Ahmedabad,UPI
PS001-202601-007,PS001,2026-01-14,debit,Food,571.61,Swiggy / local groceries,Ahmedabad,UPI
PS001-202601-008,PS001,2026-01-18,debit,Food,448.99,Swiggy / local groceries,Ahmedabad,UPI
PS001-202601-009,PS001,2026-01-19,debit,Food,488.74,Swiggy / local groceries,Ahmedabad,UPI
PS001-202601-010,PS001,2026-01-23,debit,Food,655.62,Swiggy / local groceries,Ahmedabad,UPI
PS001-202601-011,PS001,2026-01-24,debit,Food,447.53,Swiggy / local groceries,Ahmedabad,UPI
PS001-202601-012,PS001,2026-01-27,debit,Food,487.64,Swiggy / local groceries,Ahmedabad,UPI
PS001-202601-013,PS001,2026-01-31,debit,Food,609.59,Swiggy / local groceries,Ahmedabad,UPI
PS001-202601-014,PS001,2026-01-03,debit,Shopping,1227.45,Amazon / local retail,Ahmedabad,UPI
PS001-202601-015,PS001,2026-01-12,debit,Shopping,958.27,Amazon / local retail,Ahmedabad,UPI
PS001-202601-016,PS001,2026-01-21,debit,Shopping,1065.03,Amazon / local retail,Ahmedabad,UPI
PS001-202601-017,PS001,2026-01-31,debit,Shopping,1222.25,Amazon / local retail,Ahmedabad,UPI
PS001-202601-018,PS001,2026-01-02,debit,Transport,365.76,Metro / fuel,Ahmedabad,UPI
PS001-202601-019,PS001,2026-01-07,debit,Transport,341.56,Metro / fuel,Ahmedabad,UPI
PS001-202601-020,PS001,2026-01-11,debit,Transport,374.69,Metro / fuel,Ahmedabad,UPI
PS001-202601-021,PS001,2026-01-15,debit,Transport,424.85,Metro / fuel,Ahmedabad,UPI
PS001-202601-022,PS001,2026-01-18,debit,Transport,318.09,Metro / fuel,Ahmedabad,UPI
PS001-202601-023,PS001,2026-01-22,debit,Transport,324.81,Metro / fuel,Ahmedabad,UPI
PS001-202601-024,PS001,2026-01-27,debit,Transport,514.85,Metro / fuel,Ahmedabad,UPI
PS001-202601-025,PS001,2026-01-31,debit,Transport,317.39,Metro / fuel,Ahmedabad,UPI
PS001-202601-026,PS001,2026-01-03,debit,Bills,1247.19,Electricity / mobile,Ahmedabad,UPI
PS001-202601-027,PS001,2026-01-16,debit,Bills,1210.48,Electricity / mobile,Ahmedabad,UPI
PS001-202601-028,PS001,2026-01-30,debit,Bills,1270.33,Electricity / mobile,Ahmedabad,UPI
PS001-202601-029,PS001,2026-01-02,debit,Rent,11555,Monthly rent,Ahmedabad,NEFT
PS001-202601-030,PS001,2026-01-03,debit,Education,932,Learning centre,Ahmedabad,UPI
PS001-202601-031,PS001,2026-01-03,debit,Healthcare,932,Pharmacy,Ahmedabad,UPI
PS001-202601-032,PS001,2026-01-02,debit,Entertainment,716.58,Cinema / streaming,Ahmedabad,UPI
PS001-202601-033,PS001,2026-01-17,debit,Entertainment,496.88,Cinema / streaming,Ahmedabad,UPI
PS001-202601-034,PS001,2026-01-31,debit,Entertainment,463.54,Cinema / streaming,Ahmedabad,UPI
PS001-202601-035,PS001,2026-01-03,debit,Investment,2236,Recurring investment,Ahmedabad,UPI
PS001-202601-036,PS001,2026-01-02,debit,UPI Transfer,730.69,Household transfer,Ahmedabad,UPI
PS001-202601-037,PS001,2026-01-30,debit,UPI Transfer,946.31,Household transfer,Ahmedabad,UPI
PS001-202601-038,PS001,2026-01-03,debit,Other,404.4,Everyday purchase,Ahmedabad,UPI
PS001-202601-039,PS001,2026-01-30,debit,Other,341.6,Everyday purchase,Ahmedabad,UPI
PS001-202601-040,PS001,2026-01-05,debit,EMI,12000,Scheduled loan EMI,Ahmedabad,Auto debit
PS001-202602-001,PS001,2026-02-01,credit,Salary,75000,Monthly salary,Ahmedabad,NEFT
PS001-202602-002,PS001,2026-02-02,debit,Food,583.14,Swiggy / local groceries,Ahmedabad,UPI
PS001-202602-003,PS001,2026-02-04,debit,Food,504.51,Swiggy / local groceries,Ahmedabad,UPI
PS001-202602-004,PS001,2026-02-07,debit,Food,497.44,Swiggy / local groceries,Ahmedabad,UPI
PS001-202602-005,PS001,2026-02-08,debit,Food,464.96,Swiggy / local groceries,Ahmedabad,UPI
PS001-202602-006,PS001,2026-02-11,debit,Food,628.81,Swiggy / local groceries,Ahmedabad,UPI
PS001-202602-007,PS001,2026-02-13,debit,Food,499.24,Swiggy / local groceries,Ahmedabad,UPI
PS001-202602-008,PS001,2026-02-16,debit,Food,508.58,Swiggy / local groceries,Ahmedabad,UPI
PS001-202602-009,PS001,2026-02-17,debit,Food,366.66,Swiggy / local groceries,Ahmedabad,UPI
PS001-202602-010,PS001,2026-02-20,debit,Food,595.21,Swiggy / local groceries,Ahmedabad,UPI
PS001-202602-011,PS001,2026-02-23,debit,Food,629.23,Swiggy / local groceries,Ahmedabad,UPI
PS001-202602-012,PS001,2026-02-25,debit,Food,399.92,Swiggy / local groceries,Ahmedabad,UPI
PS001-202602-013,PS001,2026-02-28,debit,Food,493.3,Swiggy / local groceries,Ahmedabad,UPI
PS001-202602-014,PS001,2026-02-02,debit,Shopping,1078.6,Amazon / local retail,Ahmedabad,UPI
PS001-202602-015,PS001,2026-02-10,debit,Shopping,1078.6,Amazon / local retail,Ahmedabad,UPI
PS001-202602-016,PS001,2026-02-19,debit,Shopping,1046.85,Amazon / local retail,Ahmedabad,UPI
PS001-202602-017,PS001,2026-02-27,debit,Shopping,1151.95,Amazon / local retail,Ahmedabad,UPI
PS001-202602-018,PS001,2026-02-02,debit,Transport,321.1,Metro / fuel,Ahmedabad,UPI
PS001-202602-019,PS001,2026-02-05,debit,Transport,360.73,Metro / fuel,Ahmedabad,UPI
PS001-202602-020,PS001,2026-02-09,debit,Transport,457.21,Metro / fuel,Ahmedabad,UPI
PS001-202602-021,PS001,2026-02-12,debit,Transport,400.22,Metro / fuel,Ahmedabad,UPI
PS001-202602-022,PS001,2026-02-16,debit,Transport,323.86,Metro / fuel,Ahmedabad,UPI
PS001-202602-023,PS001,2026-02-19,debit,Transport,410.49,Metro / fuel,Ahmedabad,UPI
PS001-202602-024,PS001,2026-02-24,debit,Transport,330.03,Metro / fuel,Ahmedabad,UPI
PS001-202602-025,PS001,2026-02-28,debit,Transport,300.36,Metro / fuel,Ahmedabad,UPI
PS001-202602-026,PS001,2026-02-02,debit,Bills,1003.8,Electricity / mobile,Ahmedabad,UPI
PS001-202602-027,PS001,2026-02-15,debit,Bills,1224.8,Electricity / mobile,Ahmedabad,UPI
PS001-202602-028,PS001,2026-02-27,debit,Bills,1401.4,Electricity / mobile,Ahmedabad,UPI
PS001-202602-029,PS001,2026-02-03,debit,Rent,11253,Monthly rent,Ahmedabad,NEFT
PS001-202602-030,PS001,2026-02-02,debit,Education,908,Learning centre,Ahmedabad,UPI
PS001-202602-031,PS001,2026-02-03,debit,Healthcare,908,Pharmacy,Ahmedabad,UPI
PS001-202602-032,PS001,2026-02-02,debit,Entertainment,560.82,Cinema / streaming,Ahmedabad,UPI
PS001-202602-033,PS001,2026-02-15,debit,Entertainment,555.9,Cinema / streaming,Ahmedabad,UPI
PS001-202602-034,PS001,2026-02-27,debit,Entertainment,517.28,Cinema / streaming,Ahmedabad,UPI
PS001-202602-035,PS001,2026-02-03,debit,Investment,2178,Recurring investment,Ahmedabad,UPI
PS001-202602-036,PS001,2026-02-03,debit,UPI Transfer,885.57,Household transfer,Ahmedabad,UPI
PS001-202602-037,PS001,2026-02-28,debit,UPI Transfer,748.43,Household transfer,Ahmedabad,UPI
PS001-202602-038,PS001,2026-02-02,debit,Other,398.83,Everyday purchase,Ahmedabad,UPI
PS001-202602-039,PS001,2026-02-27,debit,Other,327.17,Everyday purchase,Ahmedabad,UPI
PS001-202602-040,PS001,2026-02-05,debit,EMI,12000,Scheduled loan EMI,Ahmedabad,Auto debit
PS001-202603-001,PS001,2026-03-01,credit,Salary,75000,Monthly salary,Ahmedabad,NEFT
PS001-202603-002,PS001,2026-03-03,debit,Food,366.14,Swiggy / local groceries,Ahmedabad,UPI
PS001-202603-003,PS001,2026-03-05,debit,Food,631.48,Swiggy / local groceries,Ahmedabad,UPI
PS001-202603-004,PS001,2026-03-08,debit,Food,488.59,Swiggy / local groceries,Ahmedabad,UPI
PS001-202603-005,PS001,2026-03-10,debit,Food,489.96,Swiggy / local groceries,Ahmedabad,UPI
PS001-202603-006,PS001,2026-03-13,debit,Food,554.6,Swiggy / local groceries,Ahmedabad,UPI
PS001-202603-007,PS001,2026-03-14,debit,Food,415.77,Swiggy / local groceries,Ahmedabad,UPI
PS001-202603-008,PS001,2026-03-18,debit,Food,585.92,Swiggy / local groceries,Ahmedabad,UPI
PS001-202603-009,PS001,2026-03-20,debit,Food,647.53,Swiggy / local groceries,Ahmedabad,UPI
PS001-202603-010,PS001,2026-03-23,debit,Food,357.09,Swiggy / local groceries,Ahmedabad,UPI
PS001-202603-011,PS001,2026-03-25,debit,Food,377.7,Swiggy / local groceries,Ahmedabad,UPI
PS001-202603-012,PS001,2026-03-28,debit,Food,643.65,Swiggy / local groceries,Ahmedabad,UPI
PS001-202603-013,PS001,2026-03-31,debit,Food,446.57,Swiggy / local groceries,Ahmedabad,UPI
PS001-202603-014,PS001,2026-03-02,debit,Shopping,856.49,Amazon / local retail,Ahmedabad,UPI
PS001-202603-015,PS001,2026-03-12,debit,Shopping,916.52,Amazon / local retail,Ahmedabad,UPI
PS001-202603-016,PS001,2026-03-20,debit,Shopping,1175.81,Amazon / local retail,Ahmedabad,UPI
PS001-202603-017,PS001,2026-03-31,debit,Shopping,1290.18,Amazon / local retail,Ahmedabad,UPI
PS001-202603-018,PS001,2026-03-03,debit,Transport,295.64,Metro / fuel,Ahmedabad,UPI
PS001-202603-019,PS001,2026-03-06,debit,Transport,269.92,Metro / fuel,Ahmedabad,UPI
PS001-202603-020,PS001,2026-03-11,debit,Transport,415.83,Metro / fuel,Ahmedabad,UPI
PS001-202603-021,PS001,2026-03-14,debit,Transport,382.94,Metro / fuel,Ahmedabad,UPI
PS001-202603-022,PS001,2026-03-19,debit,Transport,295.27,Metro / fuel,Ahmedabad,UPI
PS001-202603-023,PS001,2026-03-22,debit,Transport,382.76,Metro / fuel,Ahmedabad,UPI
